spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,average_song
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",1,0,0,US,2025-02-17,90,False,177598,GNX,2024-11-21,0.707,0.575,2,-7.546,1,0.125,0.251,0.0,0.248,0.576,138.008,4,About_Average
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,2,0,1,US,2025-02-17,92,True,274192,Not Like Us,2024-05-04,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,Higher
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",3,0,-1,US,2025-02-17,92,True,220690,GNX,2024-11-22,0.855,0.529,6,-6.679,0,0.263,0.0837,0.0,0.423,0.548,100.036,4,Higher
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),"Kendrick Lamar, SZA",4,0,12,US,2025-02-17,90,True,232186,Black Panther The Album Music From And Inspired By,2018-02-09,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4,About_Average
0nj9Bq5sHDiTxSHunhgkFb,squabble up,Kendrick Lamar,5,0,4,US,2025-02-17,89,True,157992,GNX,2024-11-22,0.874,0.672,0,-5.568,1,0.198,0.0206,0.0,0.0783,0.711,103.921,4,Lower
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",6,0,-2,US,2025-02-17,98,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0.0,0.122,0.535,157.969,3,Lower
1eTaznNW4Xxtx9za2SMTXB,DENIAL IS A RIVER,Doechii,7,0,-2,US,2025-02-17,89,True,159586,Alligator Bites Never Heal,2024-08-30,0.825,0.644,6,-3.24,0,0.33,0.0905,0.0,0.0795,0.622,93.292,4,Lower
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,8,5,7,US,2025-02-17,88,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0.0,0.193,0.838,116.034,4,Lower
3aSWXU6owkZeVhh94XxEWO,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",9,1,11,US,2025-02-17,87,True,278276,SOS Deluxe: LANA,2024-12-20,0.714,0.415,1,-10.338,0,0.0634,0.758,0.000112,0.133,0.506,140.059,4,Higher
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,10,1,-2,US,2025-02-17,96,False,210373,HIT ME HARD AND SOFT,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,About_Average
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,11,1,-4,US,2025-02-17,80,False,258034,The Rise and Fall of a Midwest Princess,2023-09-21,0.61,0.65,6,-6.199,1,0.0474,0.399,0.0,0.11,0.507,106.719,4,About_Average
0b0Dz0Gi86SVdBxYeiQcCP,Busy Woman,Sabrina Carpenter,12,-4,38,US,2025-02-17,77,True,186612,Short n' Sweet (Deluxe),2025-02-14,0.727,0.755,7,-5.152,1,0.036,0.17,0.0,0.101,0.903,117.015,4,Higher
5Nz7hI3cCOHmMR4vSLJ1An,GIMME A HUG,Drake,13,-4,37,US,2025-02-17,74,True,193054,$ome $exy $ongs 4 U,2025-02-14,0.457,0.671,1,-5.53,1,0.0979,0.0643,0.0,0.0772,0.245,142.95,4,About_Average
0FIDCNYYjNvPVimz5icugS,Timeless (feat Playboi Carti),"The Weeknd, Playboi Carti",14,0,-4,US,2025-02-17,83,True,256000,Hurry Up Tomorrow,2025-01-31,0.768,0.775,11,-5.06,0,0.0466,0.069,2.96e-06,0.138,0.6,119.999,4,Lower
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,15,0,-3,US,2025-02-17,97,True,237117,DeBÍ TiRAR MáS FOToS,2025-01-05,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4,Lower
2u9S9JJ6hTZS3Vf22HOZKg,NOKIA,Drake,16,1,34,US,2025-02-17,72,True,241023,$ome $exy $ongs 4 U,2025-02-14,0.537,0.727,5,-4.184,1,0.15,0.247,0.0,0.173,0.508,106.037,4,About_Average
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",17,1,-4,US,2025-02-17,89,False,169917,rosie,2024-12-06,0.777,0.783,0,-4.477,0,0.26,0.0283,0.0,0.355,0.939,149.027,4,Higher
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,18,1,-7,US,2025-02-17,91,False,218423,"Good Luck, Babe!",2024-04-05,0.7,0.582,11,-5.96,0,0.0356,0.0502,0.0,0.0881,0.785,116.712,4,Lower
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,19,6,-2,US,2025-02-17,92,False,211978,Sailor Song,2024-07-26,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72e-05,0.193,0.273,94.938,4,Higher
2Uts1QFB4u2YNIMiqcb4de,peekaboo (feat. azchike),"Kendrick Lamar, Az Chike",20,0,30,US,2025-02-17,84,True,155917,GNX,2024-11-22,0.889,0.298,1,-9.086,1,0.182,0.00306,1.26e-05,0.173,0.314,100.042,4,Lower
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,21,7,-7,US,2025-02-17,92,False,261466,HIT ME HARD AND SOFT,2024-05-17,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4,Lower
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",22,4,-4,US,2025-02-17,87,True,255915,CHROMAKOPIA,2024-10-28,0.505,0.812,1,-3.986,1,0.461,0.285,0.0,0.444,0.664,80.09,4,Higher
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",23,6,-2,US,2025-02-17,89,True,278014,CHROMAKOPIA,2024-10-28,0.392,0.555,4,-6.707,0,0.039,0.287,0.000253,0.13,0.191,96.063,3,Lower
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,24,0,-5,US,2025-02-17,94,True,166300,The Secret of Us (Deluxe),2024-10-18,0.554,0.808,1,-4.169,1,0.0368,0.214,0.0,0.159,0.372,108.548,4,About_Average
0NUqi0ps17YpLUC3kgsZq0,DIE TRYING,"PARTYNEXTDOOR, Drake, Yebba",25,5,25,US,2025-02-17,71,True,195431,$ome $exy $ongs 4 U,2025-02-14,0.763,0.531,11,-6.154,1,0.0328,0.146,0.0,0.175,0.665,110.497,4,Higher
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,26,-3,-20,US,2025-02-17,90,False,223398,Abracadabra,2025-02-03,0.68,0.909,10,-3.487,0,0.0624,0.0121,0.0,0.222,0.633,126.004,4,Lower
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,27,-5,16,US,2025-02-17,85,True,177000,DAMN.,2017-04-14,0.908,0.621,1,-6.638,0,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,4,Lower
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,28,-7,6,US,2025-02-17,88,False,157279,Short n' Sweet,2024-08-23,0.674,0.907,3,-4.086,1,0.064,0.101,0.0,0.297,0.721,112.964,4,Higher
4u43I0LP2Xf85OAS85eG0R,CN TOWER,"PARTYNEXTDOOR, Drake",29,-13,21,US,2025-02-17,75,True,241889,$ome $exy $ongs 4 U,2025-02-14,0.672,0.412,3,-7.057,0,0.194,0.318,0.0,0.131,0.217,126.921,4,Lower
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,30,-3,-5,US,2025-02-17,87,True,175459,Short n' Sweet,2024-08-23,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36e-06,0.205,0.708,103.963,4,Lower
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,31,2,-9,US,2025-02-17,85,True,284066,This Wasn't Meant For You Anyway,2024-06-21,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4,Higher
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,32,11,3,US,2025-02-17,86,False,236906,Submarine,2024-05-31,0.705,0.339,7,-10.612,1,0.0278,0.552,0.0814,0.12,0.457,97.989,4,About_Average
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,33,1,-9,US,2025-02-17,86,False,180304,Fireworks & Rollerblades,2024-04-05,0.472,0.471,10,-5.692,1,0.0603,0.151,0.0,0.14,0.219,105.029,3,Lower
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,34,4,-8,US,2025-02-17,94,True,367725,DeBÍ TiRAR MáS FOToS,2025-01-05,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3,Lower
