spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,average_song
5Z75FvRFiultmPFWHx5jQ7,7 Dias,"Gabito Ballesteros, Tito Double P",1,0,1,MX,2025-02-17,85,True,180688,7 Dias,2025-01-30,0.838,0.746,11,-3.749,1,0.0614,0.386,0.0,0.0839,0.577,111.913,3,Higher
78HEzDEs1QUnHB2DbxgC1s,Te Quería Ver,"Alemán, Neton Vega",2,1,1,MX,2025-02-17,82,False,176129,Te Quería Ver,2025-01-31,0.802,0.761,4,-5.182,0,0.0681,0.188,1.69e-05,0.0922,0.448,100.019,4,About_Average
0LTwdL5yZ6YOTEGUQPFuSN,ROSONES,Tito Double P,3,1,1,MX,2025-02-17,88,True,177590,ROSONES,2024-12-05,0.802,0.726,1,-5.939,1,0.0318,0.704,9.7e-06,0.117,0.604,120.129,3,Lower
7sd6zMrgGpEa7NkQm9TRrg,NADIE,Tito Double P,4,1,2,MX,2025-02-17,87,True,197031,NADIE,2024-11-21,0.702,0.843,7,-4.71,1,0.114,0.465,0.0,0.12,0.526,92.604,4,About_Average
4eLDmhsJW3JoZTXCAozHor,Loco,Neton Vega,5,-3,45,MX,2025-02-17,61,False,186521,Mi Vida Mi Muerte,2025-02-14,0.849,0.708,1,-5.502,1,0.0686,0.0741,0.00768,0.139,0.636,91.981,4,Lower
3sK8wGT43QFpWrvNQsrQya,DtMF,Bad Bunny,6,0,-1,MX,2025-02-17,97,True,237117,DeBÍ TiRAR MáS FOToS,2025-01-05,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4,Lower
5LHPcY9yd0hWVFIW4yfOCJ,Pika Pika,"Chuyin, Fuerza Regida, Jorsshh, Calle 24",7,0,1,MX,2025-02-17,83,True,147981,Pika Pika,2024-11-29,0.716,0.808,1,-6.383,1,0.0332,0.207,4.61e-06,0.14,0.788,127.023,3,Lower
4OLT65TRsOx3Iv1TlCcQVb,Presidente,"Gabito Ballesteros, Natanael Cano, Luis R Conriquez, Neton Vega",8,0,1,MX,2025-02-17,85,True,181064,Presidente,2024-10-21,0.732,0.827,11,-4.152,1,0.0585,0.123,0.0,0.117,0.584,105.145,1,Lower
3D24ErT1MMmUfXWotSj2A2,ME JALO,"Fuerza Regida, Grupo Frontera",9,0,1,MX,2025-02-17,87,True,212002,MALA MÍA,2024-12-19,0.47,0.75,2,-5.887,0,0.112,0.216,0.0,0.169,0.62,79.814,4,Lower
43558Td2trz7O0chZYohEE,Amapola,"Natanael Cano, Nueva H",10,0,2,MX,2025-02-17,83,False,180693,Amapola,2024-12-05,0.758,0.596,9,-7.836,0,0.0264,0.0641,0.0,0.245,0.753,133.0,3,About_Average
5lKFO0PrOC9jmOlPEdjHsL,DOS DÍAS,"Tito Double P, Peso Pluma",11,0,-4,MX,2025-02-17,86,True,153928,INCÓMODO,2024-08-22,0.745,0.513,1,-9.116,1,0.087,0.783,0.0,0.216,0.929,109.935,3,Lower
5jHozZMWbrExAFni95mvvH,Por Esos Ojos,Fuerza Regida,12,0,38,MX,2025-02-17,76,True,188064,Por Esos Ojos,2025-02-11,0.509,0.681,5,-6.978,0,0.106,0.294,0.0,0.191,0.511,102.462,3,Lower
1cOboCuWYI2osTOfolMRS6,Tu Boda,"Oscar Maydon, Fuerza Regida",13,0,-2,MX,2025-02-17,87,True,225880,Tu Boda,2024-09-26,0.694,0.651,6,-6.968,1,0.0784,0.496,1.36e-05,0.0787,0.471,112.648,3,About_Average
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,14,1,-1,MX,2025-02-17,94,True,367725,DeBÍ TiRAR MáS FOToS,2025-01-05,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3,Lower
6x59lSlNU7TvsJZy7134uC,ROSONES,"Jorsshh, Fuerza Regida",15,1,-1,MX,2025-02-17,85,True,178079,ROSONES,2024-11-15,0.752,0.871,6,-4.387,1,0.029,0.164,0.0,0.296,0.827,119.997,3,About_Average
2Vw8vOliCmBOAys8Q2xzJZ,Mi Vida Mi Muerte,Neton Vega,16,-2,34,MX,2025-02-17,59,False,175714,Mi Vida Mi Muerte,2025-02-14,0.792,0.717,2,-3.902,0,0.0513,0.13,0.00557,0.379,0.361,83.976,4,Lower
3IEvQ1CzszUJtTRLmmMJ2X,5-7,"Tito Double P, Junior H",17,0,-1,MX,2025-02-17,83,False,174500,INCÓMODO,2024-08-22,0.827,0.596,10,-8.36,1,0.039,0.379,0.0,0.138,0.964,111.997,3,About_Average
4dF08DjAjgactxNnsjRod6,Bandida,"Luis R Conriquez, Peso Pluma",18,0,-3,MX,2025-02-17,82,True,165026,Bandida,2025-01-16,0.753,0.732,5,-6.246,0,0.0429,0.413,0.0,0.253,0.682,118.012,3,About_Average
6X6m4xmdFcz31p1h7Qg68c,EL LOKERON,Tito Double P,19,0,-2,MX,2025-02-17,84,True,145473,INCÓMODO,2024-08-22,0.724,0.689,7,-7.174,0,0.0524,0.573,6.77e-06,0.0922,0.936,120.208,3,About_Average
4oB8Xd7gMlUEtWoD8bmCXW,Morena,"Neton Vega, Peso Pluma",20,0,30,MX,2025-02-17,69,False,193728,Mi Vida Mi Muerte,2025-02-14,0.697,0.776,4,-7.409,0,0.0308,0.379,0.00148,0.341,0.189,118.007,3,Lower
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,21,0,29,MX,2025-02-17,92,True,274192,Not Like Us,2024-05-04,0.898,0.472,1,-7.001,1,0.0776,0.0107,0.0,0.141,0.214,101.061,4,Lower
6YOfGIE6iFxC7G8OlGGvzW,ROCKSTAR,Junior H,22,2,14,MX,2025-02-17,81,True,168677,$AD BOYZ 4 LIFE II,2023-10-05,0.761,0.658,11,-7.188,1,0.0429,0.292,1.55e-06,0.137,0.895,125.036,3,Higher
0hfXHqWhOpbR9YQmQojDMN,gervonta,Peso Pluma,23,0,-1,MX,2025-02-17,83,True,167367,gervonta,2024-12-05,0.732,0.698,2,-6.147,0,0.096,0.552,0.00317,0.225,0.723,121.056,3,About_Average
2lAUq68F2bt7Kc218n9FPp,AY MAMÁ,"Tito Double P, Grupo Frontera",24,-2,-4,MX,2025-02-17,82,True,163031,INCÓMODO,2024-08-22,0.666,0.764,4,-6.297,0,0.116,0.366,0.0,0.347,0.729,148.853,4,Higher
3t72JCbFJ3syOhFC7x9Pa4,M&M,Neton Vega,25,13,25,MX,2025-02-17,65,False,166801,Mi Vida Mi Muerte,2025-02-14,0.596,0.839,5,-6.022,1,0.038,0.334,0.00713,0.0952,0.537,178.837,3,Higher
2aYZaN5SmkRDLsrrV8GkBQ,LA PATRULLA,"Peso Pluma, Neton Vega",26,1,-3,MX,2025-02-17,82,True,130614,ÉXODO,2024-06-20,0.722,0.74,6,-7.22,0,0.063,0.68,3.27e-05,0.176,0.893,132.731,3,Lower
0NsGFMIo2aNbAkJu48ndaf,Morena Canela,Chino Pacas,27,-2,-8,MX,2025-02-17,82,True,178336,Que Sigan Llegando Las Pacas (Extended),2024-10-18,0.658,0.614,10,-6.981,1,0.0324,0.105,2.18e-05,0.092,0.465,119.893,3,About_Average
6HrALJOMsfPCCbUo5cJCON,ESCAPATE,"Tito Double P, Chino Pacas",28,-2,-7,MX,2025-02-17,83,True,144674,INCÓMODO,2024-08-22,0.818,0.447,5,-10.247,0,0.047,0.514,8.14e-05,0.187,0.693,120.09,1,Lower
7qXptgpZGo8AFPhJCBVLFE,LINDA,"Tito Double P, Neton Vega",29,2,0,MX,2025-02-17,78,True,224210,INCÓMODO,2024-08-22,0.911,0.761,6,-6.712,0,0.0507,0.135,3.48e-05,0.163,0.948,124.983,4,Higher
5GTBdEjZe7zEDp1N0eCZE4,HOLLYWOOD,"Peso Pluma, Estevan Plazola",30,0,-2,MX,2025-02-17,80,True,284864,ÉXODO,2024-06-20,0.707,0.683,3,-7.598,0,0.191,0.7,5.88e-06,0.134,0.545,94.979,3,Higher
6J5kc12BW5HuP3d7C3vvx8,EoO,Bad Bunny,31,-3,-7,MX,2025-02-17,90,True,204768,DeBÍ TiRAR MáS FOToS,2025-01-05,0.36,0.464,10,-29.598,0,0.0702,0.749,0.859,0.0825,0.184,63.662,4,Lower
5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,Bad Bunny,32,-3,-6,MX,2025-02-17,93,False,183685,DeBÍ TiRAR MáS FOToS,2025-01-05,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4,Lower
6v5qt5KPQHJt5ckWuhDGtM,El Mayor De Los Ranas,"Victor Valverde, JR Torres",33,4,5,MX,2025-02-17,67,True,172059,Con Tokio,2025-01-17,0.842,0.748,10,-4.647,0,0.0706,0.278,0.0,0.0437,0.881,91.02,4,About_Average
4Ndjd6DhKIC5IPoBIrMQuX,Ese Vato No Te Queda,"Carin Leon, Gabito Ballesteros",34,-2,-4,MX,2025-02-17,84,True,198607,Ese Vato No Te Queda,2024-10-24,0.748,0.74,7,-3.643,0,0.0387,0.0292,0.000109,0.087,0.618,117.955,4,About_Average
59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,Bad Bunny,35,-2,-2,MX,2025-02-17,92,True,156364,DeBÍ TiRAR MáS FOToS,2025-01-05,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,1e-05,106.295,3,Lower
1pn82sWTAmrP709W07VImY,Gallos Y Caballos,"Grupo Maximo Grado, Natanael Cano",36,-1,-5,MX,2025-02-17,76,True,158543,Gallos Y Caballos,2025-01-30,0.779,0.921,10,-2.778,1,0.0543,0.202,0.0,0.29,0.929,113.407,3,Higher
